fen,score_cp
"8/ppk2p2/5p2/7p/3r3P/1Pb2r2/1KP5/8 w - - 6 37",-1930
"r1bqkb1r/pppp1ppp/4p3/4P3/1n4n1/8/PPPPQPPP/RNB1KBNR w KQkq - 3 6",65
"r1bqkb1r/pppp1ppp/4p3/4P3/1n4Q1/8/PPPP1PPP/RNB1KBNR b KQkq - 0 6",-118
"r1bqkb1r/pppp1ppp/4p3/4P3/6Q1/8/PPnP1PPP/RNB1KBNR w KQkq - 0 7",-8
"r1bqkb1r/pppp1ppp/4p3/4P3/6Q1/8/PPnPKPPP/RNB2BNR b kq - 1 7",82
"r1bqkb1r/ppp2ppp/3pp3/4P3/6Q1/8/PPnPKPPP/RNB2BNR w kq - 0 8",-104
"r1bqkb1r/ppp2ppp/3pp3/4P3/6Q1/5N2/PPnPKPPP/RNB2B1R b kq - 1 8",-64
"r1bqkb1r/ppp2ppp/4p3/4p3/6Q1/5N2/PPnPKPPP/RNB2B1R w kq - 0 9",-170
"r1bqkb1r/ppp2ppp/4p3/4p2Q/8/5N2/PPnPKPPP/RNB2B1R b kq - 1 9",291
"r1bqkb1r/ppp2ppp/4p3/7Q/4p3/5N2/PPnPKPPP/RNB2B1R w kq - 0 10",-291
"r1bqkb1r/ppp2ppp/4p3/4N2Q/4p3/8/PPnPKPPP/RNB2B1R b kq - 1 10",162
"r1bqkb1r/ppp2p1p/4p1p1/4N2Q/4p3/8/PPnPKPPP/RNB2B1R w kq - 0 11",-370
"r1bqkb1r/ppp2p1p/4p1p1/4N3/4p1Q1/8/PPnPKPPP/RNB2B1R b kq - 1 11",416
"r1bqkb1r/ppp4p/4ppp1/4N3/4p1Q1/8/PPnPKPPP/RNB2B1R w kq - 0 12",-383
"r1bqkb1r/ppp4p/4ppN1/8/4p1Q1/8/PPnPKPPP/RNB2B1R b kq - 0 12",383
"r1bqkb1r/ppp5/4ppp1/8/4p1Q1/8/PPnPKPPP/RNB2B1R w kq - 0 13",-398
"r1bqkb1r/ppp5/4ppp1/8/4Q3/8/PPnPKPPP/RNB2B1R b kq - 0 13",403
"r1bqkb1r/ppp5/4ppp1/8/4Q3/8/PP1PKPPP/nNB2B1R w kq - 0 14",-447
"r1bqkb1r/ppp5/4ppQ1/8/8/8/PP1PKPPP/nNB2B1R b kq - 0 14",266
"r1bq1b1r/ppp1k3/4ppQ1/8/8/8/PP1PKPPP/nNB2B1R w - - 1 15",-351
"r1bq1b1r/ppp1k3/4ppQ1/8/8/2N5/PP1PKPPP/n1B2B1R b - - 2 15",366
"r1b2b1r/ppp1k3/3qppQ1/8/8/2N5/PP1PKPPP/n1B2B1R w - - 3 16",-373
"r1b2b1r/ppp1k3/3qppQ1/8/7P/2N5/PP1PKPP1/n1B2B1R b - - 0 16",525
"r1b2b1r/ppp1k3/3qppQ1/8/7P/1nN5/PP1PKPP1/2B2B1R w - - 1 17",-305
"r1b2b1r/ppp1k3/3qppQ1/8/7P/1PN5/1P1PKPP1/2B2B1R b - - 0 17",137
