fen,score_cp
"r2kn2r/2p2p1N/4p2B/pP1pP3/P2P3p/3K3P/5P2/2R4R w - - 4 36",531
"r2kn2r/2p2p2/4pN1B/pP1pP3/P2P3p/3K3P/5P2/2R4R b - - 5 36",10
"r2knB2/2p2p2/4pN2/pP1pP3/P2P3p/3K3P/5P2/2R4R b - - 0 37",-893
"r2k1B2/2p2p2/4pn2/pP1pP3/P2P3p/3K3P/5P2/2R4R w - - 0 38",893
"r2k1B2/2p2p2/4pP2/pP1p4/P2P3p/3K3P/5P2/2R4R b - - 0 38",-888
"r4B2/2pk1p2/4pP2/pP1p4/P2P3p/3K3P/5P2/2R4R w - - 1 39",907
"r7/2pkBp2/4pP2/pP1p4/P2P3p/3K3P/5P2/2R4R b - - 2 39",-865
"6r1/2pkBp2/4pP2/pP1p4/P2P3p/3K3P/5P2/2R4R w - - 3 40",895
"6r1/2pkBp2/4pP2/pP1p4/P2P3p/3K3P/5P2/2R1R3 b - - 4 40",-828
"8/2pkBp2/4pP2/pP1p2r1/P2P3p/3K3P/5P2/2R1R3 w - - 5 41",895
"8/2pkBp2/4pP2/pP1p2r1/P2P3p/3K3P/5P2/2R3R1 b - - 6 41",-854
"8/2pkBp2/4pP2/pP1p4/P2P3p/3K3P/5P2/2R3r1 w - - 0 42",865
"8/2pkBp2/4pP2/pP1p4/P2P3p/3K3P/5P2/6R1 b - - 0 42",-909
"4k3/2p1Bp2/4pP2/pP1p4/P2P3p/3K3P/5P2/6R1 w - - 1 43",1135
"4k3/2p1BpR1/4pP2/pP1p4/P2P3p/3K3P/5P2/8 b - - 2 43",-981
"8/2pkBpR1/4pP2/pP1p4/P2P3p/3K3P/5P2/8 w - - 3 44",1034
"8/2pk1pR1/4pP2/pP1p4/P2P3p/B2K3P/5P2/8 b - - 4 44",-1009
"2k5/2p2pR1/4pP2/pP1p4/P2P3p/B2K3P/5P2/8 w - - 5 45",1271
"2k5/2p2R2/4pP2/pP1p4/P2P3p/B2K3P/5P2/8 b - - 0 45",-1383
"1k6/2p2R2/4pP2/pP1p4/P2P3p/B2K3P/5P2/8 w - - 1 46",1428
"1k6/2R5/4pP2/pP1p4/P2P3p/B2K3P/5P2/8 b - - 0 46",-1536
"1k6/2R5/5P2/pP1pp3/P2P3p/B2K3P/5P2/8 w - - 0 47",1538
"1k6/2R5/5P2/pP1pP3/P6p/B2K3P/5P2/8 b - - 0 47",-1821
"8/2k5/5P2/pP1pP3/P6p/B2K3P/5P2/8 w - - 0 48",1545
"8/2k5/5P2/pP1pP3/P6p/B2K1P1P/8/8 b - - 0 48",-1836
"8/8/1k3P2/pP1pP3/P6p/B2K1P1P/8/8 w - - 1 49",1836
"8/5P2/1k6/pP1pP3/P6p/B2K1P1P/8/8 b - - 0 49",-1851
"8/5P2/1k6/pP2P3/P2p3p/B2K1P1P/8/8 w - - 0 50",1963
"rn2kbnr/ppp2ppp/3p4/8/4P2q/3B3b/PPP2PPP/RNBQK1NR w KQkq - 2 6",218
"rn2kbnr/ppp2ppp/3p4/8/4P2q/3B2Pb/PPP2P1P/RNBQK1NR b KQkq - 0 6",258
"rn2kbnr/ppp2ppp/3p4/8/4P2q/3B2P1/PPP2PbP/RNBQK1NR w KQkq - 1 7",-171
"rn2kbnr/ppp2ppp/3p4/8/4P2q/3B1NP1/PPP2PbP/RNBQK2R b KQkq - 2 7",427
"rn2kbnr/ppp1qppp/3p4/8/4P3/3B1NP1/PPP2PbP/RNBQK2R w KQkq - 3 8",-115
"rn2kbnr/ppp1qppp/3p4/8/4P3/3B1NP1/PPP2PbP/RNBQK1R1 b Qkq - 4 8",321
"rn2kb1r/ppp1qppp/3p1n2/8/4P3/3B1NP1/PPP2PbP/RNBQK1R1 w Qkq - 5 9",167
"rn2kb1r/ppp1qppp/3p1n2/8/4P3/3B1NP1/PPP2PRP/RNBQK3 b Qkq - 0 9",-215
"rn2kb1r/ppp1qppp/3p4/8/4n3/3B1NP1/PPP2PRP/RNBQK3 w Qkq - 0 10",736
"rn2kb1r/ppp1qppp/3p4/8/4B3/5NP1/PPP2PRP/RNBQK3 b Qkq - 0 10",-203
"rn2kb1r/ppp2ppp/3p4/8/4q3/5NP1/PPP2PRP/RNBQK3 w Qkq - 0 11",245
"rn2kb1r/ppp2ppp/3p4/8/4q3/5NP1/PPP1QPRP/RNB1K3 b Qkq - 1 11",-213
"rn2kb1r/ppp2ppp/3p4/8/8/5NP1/PPP1qPRP/RNB1K3 w Qkq - 0 12",213
"rn2kb1r/ppp2ppp/3p4/8/8/5NP1/PPP1KPRP/RNB5 b kq - 0 12",-328
"rn2kb1r/ppp2pp1/3p3p/8/8/5NP1/PPP1KPRP/RNB5 w kq - 0 13",268
"rn2kb1r/ppp2pp1/3p3p/8/8/4BNP1/PPP1KPRP/RN6 b kq - 1 13",-182
"r3kb1r/ppp2pp1/2np3p/8/8/4BNP1/PPP1KPRP/RN6 w kq - 2 14",744
"r3kb1r/ppp2pp1/2np3p/8/8/N3BNP1/PPP1KPRP/R7 b kq - 3 14",-242
"r3kb1r/1pp2pp1/p1np3p/8/8/N3BNP1/PPP1KPRP/R7 w kq - 0 15",303
"r3kb1r/1pp2pp1/p1np3p/8/2N5/4BNP1/PPP1KPRP/R7 b kq - 1 15",-21
"r3kb1r/1pp2pp1/p2p3p/8/1nN5/4BNP1/PPP1KPRP/R7 w kq - 2 16",566
"r3kb1r/1pp2pp1/p2p3p/8/1nN5/2P1BNP1/PP2KPRP/R7 b kq - 0 16",28
"r3kb1r/1pp2pp1/p2p3p/8/2N5/2P1BNP1/PPn1KPRP/R7 w kq - 1 17",319
"r3kb1r/1pp2pp1/p2p3p/8/2N5/2P1BNP1/PPn1KPRP/2R5 b kq - 2 17",-291
"r3kb1r/1pp2pp1/p2p3p/8/2N5/2P1nNP1/PP2KPRP/2R5 w kq - 0 18",291
"r3kb1r/1pp2pp1/p2p3p/8/8/2P1NNP1/PP2KPRP/2R5 b kq - 0 18",-290
"r4b1r/1ppk1pp1/p2p3p/8/8/2P1NNP1/PP2KPRP/2R5 w - - 1 19",282
"r4b1r/1ppk1pp1/p2p3p/5N2/8/2P2NP1/PP2KPRP/2R5 b - - 2 19",-92
"r4b1r/1p1k1pp1/p2p3p/2p2N2/8/2P2NP1/PP2KPRP/2R5 w - - 0 20",320
"r4b1r/1p1k1pp1/p2p3p/2p2N2/8/2P2NP1/PP2KPRP/3R4 b - - 1 20",-181
"r4b1r/1p3pp1/p2pk2p/2p2N2/8/2P2NP1/PP2KPRP/3R4 w - - 2 21",317
"r4b1r/1p3pp1/p2pk2p/2p2N2/6P1/2P2N2/PP2KPRP/3R4 b - - 0 21",-154
"3r1b1r/1p3pp1/p2pk2p/2p2N2/6P1/2P2N2/PP2KPRP/3R4 w - - 1 22",287
"3r1b1r/1p3pp1/p2pk2p/2p5/6P1/2P1NN2/PP2KPRP/3R4 b - - 2 22",-270
"3r1b1r/1p3pp1/p2pk3/2p4p/6P1/2P1NN2/PP2KPRP/3R4 w - - 0 23",282
"3r1b1r/1p3pp1/p2pk3/2p4p/6P1/P1P1NN2/1P2KPRP/3R4 b - - 0 23",-268
"4rb1r/1p3pp1/p2pk3/2p4p/6P1/P1P1NN2/1P2KPRP/3R4 w - - 1 24",271
"4rb1r/1p3pp1/p2pk3/2p3Pp/8/P1P1NN2/1P2KPRP/3R4 b - - 0 24",-258
"4r2r/1p2bpp1/p2pk3/2p3Pp/8/P1P1NN2/1P2KPRP/3R4 w - - 1 25",368
"4r2r/1p2bpp1/p2pk3/2p3Pp/7N/P1P1N3/1P2KPRP/3R4 b - - 2 25",-228
"4r2r/1p2bp2/p2pk1p1/2p3Pp/7N/P1P1N3/1P2KPRP/3R4 w - - 0 26",402
"4r2r/1p2bp2/p2pk1p1/2p3Pp/7N/P1P1N3/1P2KPRP/4R3 b - - 1 26",-237
"4r2r/1p2bp2/p3k1p1/2pp2Pp/7N/P1P1N3/1P2KPRP/4R3 w - - 0 27",375
"4r2r/1p2bp2/p3k1p1/2pp2Pp/7N/P1P1NK2/1P3PRP/4R3 b - - 1 27",-180
"4r2r/1p3p2/p2bk1p1/2pp2Pp/7N/P1P1NK2/1P3PRP/4R3 w - - 2 28",672
"4r2r/1p3p2/p2bk1p1/2pp2Pp/6NN/P1P2K2/1P3PRP/4R3 b - - 3 28",-678
"4r2r/1p3p2/p3k1p1/2ppb1Pp/6NN/P1P2K2/1P3PRP/4R3 w - - 4 29",648
"4r2r/1p3p2/p3k1p1/2ppN1Pp/7N/P1P2K2/1P3PRP/4R3 b - - 0 29",-670
"4r2r/1p3p2/p3k1p1/2p1N1Pp/3p3N/P1P2K2/1P3PRP/4R3 w - - 0 30",720
"4r2r/1p3p2/p3k1p1/2p1N1Pp/2Pp3N/P4K2/1P3PRP/4R3 b - - 0 30",-611
"4r2r/5p2/p3k1p1/1pp1N1Pp/2Pp3N/P4K2/1P3PRP/4R3 w - - 0 31",695
"4r2r/5p2/p3k1p1/1pp1N1Pp/2Pp3N/P4K2/1P3P1P/4R1R1 b - - 1 31",-547
"4r1r1/5p2/p3k1p1/1pp1N1Pp/2Pp3N/P4K2/1P3P1P/4R1R1 w - - 2 32",663
"4r1r1/5p2/p3k1p1/1pp1N1Pp/2Pp3N/PP3K2/5P1P/4R1R1 b - - 0 32",-658
"4r1r1/4kp2/p5p1/1pp1N1Pp/2Pp3N/PP3K2/5P1P/4R1R1 w - - 1 33",722
"4r1r1/4kp2/p5N1/1pp3Pp/2Pp3N/PP3K2/5P1P/4R1R1 b - - 0 33",-658
"4r1r1/3k1p2/p5N1/1pp3Pp/2Pp3N/PP3K2/5P1P/4R1R1 w - - 1 34",722
"4r1r1/3k1p2/p7/1pp1N1Pp/2Pp3N/PP3K2/5P1P/4R1R1 b - - 2 34",-743
"4r1r1/2k2p2/p7/1pp1N1Pp/2Pp3N/PP3K2/5P1P/4R1R1 w - - 3 35",782
"4r1r1/2k2N2/p7/1pp3Pp/2Pp3N/PP3K2/5P1P/4R1R1 b - - 0 35",-810
"4r1r1/2k2N2/p7/1pp3Pp/2P4N/PP1p1K2/5P1P/4R1R1 w - - 0 36",792
"4R1r1/2k2N2/p7/1pp3Pp/2P4N/PP1p1K2/5P1P/6R1 b - - 0 36",-792
"4r3/2k2N2/p7/1pp3Pp/2P4N/PP1p1K2/5P1P/6R1 w - - 0 37",688
"4r3/2k2N2/p5P1/1pp4p/2P4N/PP1p1K2/5P1P/6R1 b - - 0 37",-643
"4r3/2k2N2/p5P1/2p4p/2p4N/PP1p1K2/5P1P/6R1 w - - 0 38",795
"4r3/2k2N2/p5P1/2p4p/2P4N/P2p1K2/5P1P/6R1 b - - 0 38",-695
"4r3/2k2N2/p5P1/2p4p/2P4N/P4K2/3p1P1P/6R1 w - - 0 39",1108
"4r3/2k2N2/p5P1/2p4p/2P4N/P4K2/3p1P1P/3R4 b - - 1 39",-1054
"1r6/2k2N2/p5P1/2p4p/2P4N/P4K2/3p1P1P/3R4 w - - 2 40",1075
"1r6/2k2N2/p5P1/2p4p/2P4N/P4K2/3R1P1P/8 b - - 0 40",-1054
"8/2k2N2/p5P1/2p4p/2P4N/Pr3K2/3R1P1P/8 w - - 1 41",1159
"8/2k2N2/p5P1/2p4p/2P1K2N/Pr6/3R1P1P/8 b - - 2 41",-1000
"8/2k2N2/p5P1/2p4p/2P1K2N/P6r/3R1P1P/8 w - - 3 42",1261
"8/2k2N2/p5P1/2p4p/2P1K3/P4N1r/3R1P1P/8 b - - 4 42",-1439
"8/2k2N2/p5P1/2p5/2P1K2p/P4N1r/3R1P1P/8 w - - 0 43",1503
"8/2k5/p5P1/2p1N3/2P1K2p/P4N1r/3R1P1P/8 b - - 1 43",-1795
"8/8/pk4P1/2p1N3/2P1K2p/P4N1r/3R1P1P/8 w - - 2 44",1941
"8/6P1/pk6/2p1N3/2P1K2p/P4N1r/3R1P1P/8 b - - 0 44",-1760
"8/6P1/1k6/p1p1N3/2P1K2p/P4N1r/3R1P1P/8 w - - 0 45",20947
"6Q1/8/1k6/p1p1N3/2P1K2p/P4N1r/3R1P1P/8 b - - 0 45",-20976
"6Q1/8/k7/p1p1N3/2P1K2p/P4N1r/3R1P1P/8 w - - 1 46",21355
"6Q1/8/k1N5/p1p5/2P1K2p/P4N1r/3R1P1P/8 b - - 2 46",-21242
"6Q1/8/k1N5/p1p5/2P1K2p/P4N2/3R1P1r/8 w - - 0 47",21425
"6Q1/4N3/k7/p1p5/2P1K2p/P4N2/3R1P1r/8 b - - 1 47",-2247
"6Q1/4N3/k7/p1p5/2P1K2p/P4N2/3R1r2/8 w - - 0 48",21482
"rn1qkbnr/1pp1pp1p/p3P1p1/3p1b2/3P4/8/PPP1NPPP/RNBQKB1R b KQkq - 0 5",487
"rn1qkb1r/1pp1pp1p/p3P1pn/3p1b2/3P4/8/PPP1NPPP/RNBQKB1R w KQkq - 1 6",30
"rn1qkb1r/1pp1pp1p/p3P1pn/3p1b2/3P1B2/8/PPP1NPPP/RN1QKB1R b KQkq - 2 6",-26
"rn1qkb1r/1pp1p2p/p3p1pn/3p1b2/3P1B2/8/PPP1NPPP/RN1QKB1R w KQkq - 0 7",159
"rn1qkb1r/1pp1p2p/p3p1pn/3p1b2/3P1B2/6N1/PPP2PPP/RN1QKB1R b KQkq - 1 7",-237
"rn1qkb1r/1pp1p2p/p3p1p1/3p1b2/3P1Bn1/6N1/PPP2PPP/RN1QKB1R w KQkq - 2 8",41
"rn1qkb1r/1pp1p2p/p3p1p1/3p1N2/3P1Bn1/8/PPP2PPP/RN1QKB1R b KQkq - 0 8",-40
"rn1qkb1r/1pp1p2p/p3p3/3p1p2/3P1Bn1/8/PPP2PPP/RN1QKB1R w KQkq - 0 9",571
"rn1qkb1r/1pp1p2p/p3p3/3p1p2/3P1Bn1/7P/PPP2PP1/RN1QKB1R b KQkq - 0 9",-133
"rn1qkb1r/1pp1p2p/p7/3ppp2/3P1Bn1/7P/PPP2PP1/RN1QKB1R w KQkq - 0 10",308
"rn1qkb1r/1pp1p2p/p7/3ppp2/3P1Bn1/7P/PPP1QPP1/RN2KB1R b KQkq - 1 10",65
"rn1qkb1r/1pp1p2p/p7/3p1p2/3P1pn1/7P/PPP1QPP1/RN2KB1R w KQkq - 0 11",-32
"rn1qkb1r/1pp1p2p/p7/3p1p2/3P1pP1/8/PPP1QPP1/RN2KB1R b KQkq - 0 11",44
"r2qkb1r/1pp1p2p/p1n5/3p1p2/3P1pP1/8/PPP1QPP1/RN2KB1R w KQkq - 1 12",318
"r2qkb1r/1pp1p2p/p1n5/3p1p2/3P1pP1/2P5/PP2QPP1/RN2KB1R b KQkq - 0 12",147
"r2qkb1r/1pp4p/p1n5/3ppp2/3P1pP1/2P5/PP2QPP1/RN2KB1R w KQkq - 0 13",189
"r2qkb1r/1pp4p/p1n5/3ppP2/3P1p2/2P5/PP2QPP1/RN2KB1R b KQkq - 0 13",45
"r2qkb1r/1pp5/p1n5/3ppP1p/3P1p2/2P5/PP2QPP1/RN2KB1R w KQkq - 0 14",289
"r2qkb1r/1pp5/p1n5/3pPP1p/5p2/2P5/PP2QPP1/RN2KB1R b KQkq - 0 14",296
"r2qk2r/1pp5/p1n5/2bpPP1p/5p2/2P5/PP2QPP1/RN2KB1R w KQkq - 1 15",70
"r2qk2r/1pp5/p1n5/2bpPP1R/5p2/2P5/PP2QPP1/RN2KB2 b Qkq - 0 15",-177
"r2qkr2/1pp5/p1n5/2bpPP1R/5p2/2P5/PP2QPP1/RN2KB2 w Qq - 1 16",415
"r2qkr2/1pp5/p1n5/2bpPP1R/5pQ1/2P5/PP3PP1/RN2KB2 b Qq - 2 16",-34
"r2qkr2/1pp5/p7/2bpnP1R/5pQ1/2P5/PP3PP1/RN2KB2 w Qq - 0 17",140
"r2qkr2/1pp3Q1/p7/2bpnP1R/5p2/2P5/PP3PP1/RN2KB2 b Qq - 1 17",-102
"r3kr2/1pp1q1Q1/p7/2bpnP1R/5p2/2P5/PP3PP1/RN2KB2 w Qq - 2 18",59
"r3kr2/1pp1Q3/p7/2bpnP1R/5p2/2P5/PP3PP1/RN2KB2 b Qq - 0 18",-51
"r3kr2/1pp1b3/p7/3pnP1R/5p2/2P5/PP3PP1/RN2KB2 w Qq - 0 19",203
"r3kr2/1pp1b3/p7/3pnP1R/5p2/2P5/PP1N1PP1/R3KB2 b Qq - 1 19",-118
"2kr1r2/1pp1b3/p7/3pnP1R/5p2/2P5/PP1N1PP1/R3KB2 w Q - 2 20",166
"2kr1r2/1pp1b3/p7/3pnP1R/5p2/2P3P1/PP1N1P2/R3KB2 b Q - 0 20",-120
"2kr1r2/1pp1bn2/p7/3p1P1R/5p2/2P3P1/PP1N1P2/R3KB2 w Q - 1 21",288
"2kr1r2/1pp1bn1R/p7/3p1P2/5p2/2P3P1/PP1N1P2/R3KB2 b Q - 2 21",-90
"2kr1r2/1pp2n1R/p7/3p1P2/5p2/b1P3P1/PP1N1P2/R3KB2 w Q - 3 22",181
"2kr1r2/1pp2n1R/p7/3p1P2/5p2/b1P3P1/PP1N1P2/2KR1B2 b - - 4 22",-203
"2kr1r2/1pp2n1R/p7/3p1P2/5p2/2P3P1/Pb1N1P2/2KR1B2 w - - 0 23",280
"2kr1r2/1pp2n1R/p7/3p1P2/5p2/2P3P1/PK1N1P2/3R1B2 b - - 0 23",-209
"2kr1r2/1pp2n1R/p7/3p1P2/8/2P3p1/PK1N1P2/3R1B2 w - - 0 24",208
"2kr1r2/1pp2n1R/p7/3p1P2/5P2/2P3p1/PK1N4/3R1B2 b - - 0 24",-34
"2kr1r2/1pp4R/p2n4/3p1P2/5P2/2P3p1/PK1N4/3R1B2 w - - 1 25",90
"2kr1r2/1pp5/p2n4/3p1P1R/5P2/2P3p1/PK1N4/3R1B2 b - - 2 25",35
"2kr1r2/1pp5/p7/3p1n1R/5P2/2P3p1/PK1N4/3R1B2 w - - 0 26",314
"2kr1r2/1pp5/p7/3p1n1R/5P2/2P3pB/PK1N4/3R4 b - - 1 26",-334
"1k1r1r2/1pp5/p7/3p1n1R/5P2/2P3pB/PK1N4/3R4 w - - 2 27",334
"1k1r1r2/1pp5/p7/3p1B1R/5P2/2P3p1/PK1N4/3R4 b - - 0 27",-271
"1k1r1r2/1pp5/p7/3p1B1R/5P2/2P5/PK1N2p1/3R4 w - - 0 28",424
"1k1r1r2/1pp5/p7/3p1B1R/5P2/2P5/PK1N2p1/6R1 b - - 1 28",-460
"1k1r2r1/1pp5/p7/3p1B1R/5P2/2P5/PK1N2p1/6R1 w - - 2 29",597
"1k1r2r1/1pp5/p7/3p1BR1/5P2/2P5/PK1N2p1/6R1 b - - 3 29",-474
"1k1r2r1/2p5/p7/1p1p1BR1/5P2/2P5/PK1N2p1/6R1 w - - 0 30",606
"1k1r2r1/2p5/p7/1p1p1B2/5P2/2P5/PK1N2R1/6R1 b - - 0 30",-598
"1k1r1r2/2p5/p7/1p1p1B2/5P2/2P5/PK1N2R1/6R1 w - - 1 31",584
"1k1r1r2/2p5/p7/1p1p1BR1/5P2/2P5/PK1N4/6R1 b - - 2 31",-498
"1k1r4/2p5/p4r2/1p1p1BR1/5P2/2P5/PK1N4/6R1 w - - 3 32",537
"1k1r4/2p5/p4r2/1p1p1BR1/5PR1/2P5/PK1N4/8 b - - 4 32",-489
"1k1r4/8/p1p2r2/1p1p1BR1/5PR1/2P5/PK1N4/8 w - - 0 33",586
"1k1r4/7B/p1p2r2/1p1p2R1/5PR1/2P5/PK1N4/8 b - - 1 33",-568
"1k1r4/5r1B/p1p5/1p1p2R1/5PR1/2P5/PK1N4/8 w - - 2 34",642
"1k1r2B1/5r2/p1p5/1p1p2R1/5PR1/2P5/PK1N4/8 b - - 3 34",-622
"1k1r1rB1/8/p1p5/1p1p2R1/5PR1/2P5/PK1N4/8 w - - 4 35",621
"1k1r1rB1/8/p1p5/1p1p2R1/5PR1/2P2N2/PK6/8 b - - 5 35",-580
"1k2rrB1/8/p1p5/1p1p2R1/5PR1/2P2N2/PK6/8 w - - 6 36",691
"1k2rrB1/8/p1p5/1p1pN1R1/5PR1/2P5/PK6/8 b - - 7 36",-717
"4rrB1/2k5/p1p5/1p1pN1R1/5PR1/2P5/PK6/8 w - - 8 37",757
"4rrB1/2k3R1/p1p5/1p1pN3/5PR1/2P5/PK6/8 b - - 9 37",-621
"4rrB1/6R1/p1pk4/1p1pN3/5PR1/2P5/PK6/8 w - - 10 38",20139
"rnb1kb1r/pp1p1ppp/1q2p3/2p3BQ/2BPP3/8/PPP2PPP/RN2K1NR w KQkq - 2 6",775
"rnb1kb1r/pp1p1ppp/1q2p3/2p3B1/2BPP3/5Q2/PPP2PPP/RN2K1NR b KQkq - 3 6",-151
"rnb1kb1r/pp1p2pp/1q2pp2/2p3B1/2BPP3/5Q2/PPP2PPP/RN2K1NR w KQkq - 0 7",351
"rnb1kb1r/pp1p2pp/1q2pp2/2p3B1/3PP3/1B3Q2/PPP2PPP/RN2K1NR b KQkq - 1 7",-193
"rnb1kb1r/pp1p2pp/q3pp2/2p3B1/3PP3/1B3Q2/PPP2PPP/RN2K1NR w KQkq - 2 8",580
"rnb1kb1r/pp1p2pp/q3pp2/2p3B1/2PPP3/1B3Q2/PP3PPP/RN2K1NR b KQkq - 0 8",-425
"rnb1kb1r/pp1p2pp/q3pp2/6B1/2PpP3/1B3Q2/PP3PPP/RN2K1NR w KQkq - 0 9",326
"rnb1kb1r/pp1p2pp/q3pp2/6B1/2PpP3/1BN2Q2/PP3PPP/R3K1NR b KQkq - 1 9",-179
"rnb1kb1r/pp1p2pp/1q2pp2/6B1/2PpP3/1BN2Q2/PP3PPP/R3K1NR w KQkq - 2 10",659
"rnb1kb1r/pp1p2pp/1q2pp2/6B1/N1PpP3/1B3Q2/PP3PPP/R3K1NR b KQkq - 3 10",32
"rnb1kb1r/pp1p2pp/4pp2/q5B1/N1PpP3/1B3Q2/PP3PPP/R3K1NR w KQkq - 4 11",235
"rnb1kb1r/pp1p2pp/4pp2/q7/N1PpP3/1B3Q2/PP1B1PPP/R3K1NR b KQkq - 5 11",-515
"rnb1k2r/pp1p2pp/4pp2/q7/NbPpP3/1B3Q2/PP1B1PPP/R3K1NR w KQkq - 6 12",134
"rnb1k2r/pp1p2pp/4pp2/q7/NbPpP3/1B6/PP1B1PPP/R2QK1NR b KQkq - 7 12",-120
"rnb2rk1/pp1p2pp/4pp2/q7/NbPpP3/1B6/PP1B1PPP/R2QK1NR w KQ - 8 13",149
"rnb2rk1/pp1p2pp/4pp2/q7/NBPpP3/1B6/PP3PPP/R2QK1NR b KQ - 0 13",-234
"rnb2rk1/pp1p2pp/4pp2/8/NqPpP3/1B6/PP3PPP/R2QK1NR w KQ - 0 14",233
"rnb2rk1/pp1p2pp/4pp2/8/NqPpP3/1B6/PP1Q1PPP/R3K1NR b KQ - 1 14",-248
"rnb2rk1/pp1p2pp/4pp2/8/N1PpP3/1B6/PP1q1PPP/R3K1NR w KQ - 0 15",233
"rnb2rk1/pp1p2pp/4pp2/8/N1PpP3/1B6/PP1K1PPP/R5NR b - - 0 15",-196
"rnb2rk1/p2p2pp/1p2pp2/8/N1PpP3/1B6/PP1K1PPP/R5NR w - - 0 16",260
"rnb2rk1/p2p2pp/1p2pp2/8/N1PpP3/1B3N2/PP1K1PPP/R6R b - - 1 16",-145
"rn3rk1/pb1p2pp/1p2pp2/8/N1PpP3/1B3N2/PP1K1PPP/R6R w - - 2 17",245
"rn3rk1/pb1p2pp/1p2pp2/8/N1PpP3/1B3N2/PP1K1PPP/R3R3 b - - 3 17",-148
"rn3rk1/pb1p2pp/1p2p3/5p2/N1PpP3/1B3N2/PP1K1PPP/R3R3 w - - 0 18",184
"rn3rk1/pb1p2pp/1p2p3/4Np2/N1PpP3/1B6/PP1K1PPP/R3R3 b - - 1 18",-28
"rn3rk1/pb4pp/1p1pp3/4Np2/N1PpP3/1B6/PP1K1PPP/R3R3 w - - 0 19",133
"rn3rk1/pb4pp/1p1pp3/2P1Np2/N2pP3/1B6/PP1K1PPP/R3R3 b - - 0 19",-13
"rn3rk1/pb4pp/1p2p3/2P1pp2/N2pP3/1B6/PP1K1PPP/R3R3 w - - 0 20",13
"rn3rk1/pb4pp/1p2B3/2P1pp2/N2pP3/8/PP1K1PPP/R3R3 b - - 0 20",-12
"rn3r1k/pb4pp/1p2B3/2P1pp2/N2pP3/8/PP1K1PPP/R3R3 w - - 1 21",132
"rn3r1k/pb4pp/1p6/2P1pB2/N2pP3/8/PP1K1PPP/R3R3 b - - 0 21",7
"rn3r1k/pb4pp/8/1pP1pB2/N2pP3/8/PP1K1PPP/R3R3 w - - 0 22",4
"rn3r1k/pb4pp/8/1pP1pB2/N2pP3/8/PP1K1PPP/3RR3 b - - 1 22",139
"r4r1k/pb4pp/2n5/1pP1pB2/N2pP3/8/PP1K1PPP/3RR3 w - - 2 23",-40
"r4r1k/pb4pp/2n5/1pP1pB2/N2pP3/5P2/PP1K2PP/3RR3 b - - 0 23",79
"r4r1k/pb4pp/2n5/2P1pB2/p2pP3/5P2/PP1K2PP/3RR3 w - - 0 24",-61
"r4r1k/pb4pp/2n5/2P1pB2/p2pP3/P4P2/1P1K2PP/3RR3 b - - 0 24",99
"r1b2r1k/p5pp/2n5/2P1pB2/p2pP3/P4P2/1P1K2PP/3RR3 w - - 1 25",-136
"r1b2r1k/p5pp/2n5/2P1p3/p2pP1B1/P4P2/1P1K2PP/3RR3 b - - 2 25",286
"r4r1k/p5pp/2n5/2P1p3/p2pP1b1/P4P2/1P1K2PP/3RR3 w - - 0 26",-159
"r4r1k/p5pp/2n5/2P1p3/p2pP1P1/P7/1P1K2PP/3RR3 b - - 0 26",310
"1r3r1k/p5pp/2n5/2P1p3/p2pP1P1/P7/1P1K2PP/3RR3 w - - 1 27",-138
"1r3r1k/p5pp/2n5/2P1p3/p2pP1P1/P7/1P1K2PP/3R1R2 b - - 2 27",281
"1r2r2k/p5pp/2n5/2P1p3/p2pP1P1/P7/1P1K2PP/3R1R2 w - - 3 28",-132
"1r2r2k/p5pp/2n5/2P1p3/p2pP1P1/P7/1P1K2PP/1R3R2 b - - 4 28",279
"4r2k/p5pp/2n5/1rP1p3/p2pP1P1/P7/1P1K2PP/1R3R2 w - - 5 29",-177
"4r2k/p5pp/2n5/1rP1p3/p2pP1P1/P7/1P1K2PP/1RR5 b - - 6 29",304
"1r5k/p5pp/2n5/1rP1p3/p2pP1P1/P7/1P1K2PP/1RR5 w - - 7 30",-146
"1r5k/p5pp/2n5/1rP1p3/pP1pP1P1/P7/3K2PP/1RR5 b - b3 0 30",374
"1r5k/6pp/2n5/prP1p3/pP1pP1P1/P7/3K2PP/1RR5 w - - 0 31",-382
"1r5k/6pp/2n5/prP1p1P1/pP1pP3/P7/3K2PP/1RR5 b - - 0 31",485
"1r5k/6pp/2n5/1rP1p1P1/pp1pP3/P7/3K2PP/1RR5 w - - 0 32",-457
"1r5k/6pp/2n5/1rP1p1P1/ppRpP3/P7/3K2PP/1R6 b - - 1 32",442
"1r4k1/6pp/2n5/1rP1p1P1/ppRpP3/P7/3K2PP/1R6 w - - 2 33",-376
"1r4k1/6pp/2n5/1rP1p1P1/ppRpP3/P7/3K2PP/R7 b - - 3 33",376
"1r4k1/6pp/8/nrP1p1P1/ppRpP3/P7/3K2PP/R7 w - - 4 34",-366
"1r4k1/6pp/8/nrP1p1P1/pR1pP3/P7/3K2PP/R7 b - - 0 34",590
"1r4k1/6pp/8/1rP1p1P1/pR1pP3/Pn6/3K2PP/R7 w - - 1 35",-392
"1r4k1/6pp/8/1rP1p1P1/p2pP3/PR6/3K2PP/R7 b - - 0 35",393
"1r4k1/6pp/8/2P1p1P1/p2pP3/Pr6/3K2PP/R7 w - - 0 36",-442
